candidate_uid,cluster_id,source_scope,source_phase,representative_expression,canonical_expression,representative_candidate_id,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,p90_turnover,median_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,raw_pass_count,deployable_count,champion_score,grade,discovery_strength_component,book_readiness_component,cost_proxy_component,turnover_component,capacity_component,novelty_corr_component,feasibility_component,penalties,proof_gaps,champion_decision,merged_duplicate_candidate_uids,duplicate_candidate_count,legacy_cluster_id
phase3k_b_fresh:s53_cluster_002,s53_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Add(Sign(Mom($final_total_market_cap,34)),CSRank(Mean(Abs(Delta($open,1)),34))))","CSRank(Add(Sign(Mom($final_total_market_cap,34)),CSRank(Mean(Abs(Delta($open,1)),34))))",agnostic-freeform-176ab8ab97a7,agnostic_freeform_ast,price|size_capital,Abs|Add|CSRank|Delta|Mean|Mom|Sign,True,True,True,,0.596226,0.143169,0.143169,3.181867,22877982.360352,1126885824.0,0.024286,0.0,1,1,71.390912,A,0.483339,1.0,0.636373,1.0,0.507635,0.603774,0.797617,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s53_cluster_002,1,
phase3j_locked:cluster_031,cluster_031,phase3j_locked_book,Phase3J,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-dbae91cd75,formula_gen_v2_repair_expansion,cap|price,Abs|CSRank|CSResidual|Delta|Log|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.103397,0.103397,3.074003,23895134.562695,1128118777.6,0.017437,0.0,1,1,70.942226,A,0.471474,1.0,0.614801,1.0,0.522155,0.55,0.854692,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_031,1,
phase3k_b_fresh:s54_cluster_002,s54_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Std($low,34)),Mul(Sign($turnover_rate),Sign(Mean($low,34)))))","CSRank(Mul(ZScore(Std($low,34)),Mul(Sign($turnover_rate),Sign(Mean($low,34)))))",agnostic-freeform-c100f7a7e29b,r0_cem_led,flow|price,CSRank|Mean|Mul|Sign|Std|ZScore,True,True,False,signal_collision_ge_0p80,1.0,0.060015,0.052267,3.763897,25044245.442773,1223183433.6,0.024012,0.0,4,4,70.211866,A,0.864029,1.0,0.752779,1.0,0.537834,0.1,0.7999,near_registry_duplicate,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s54_cluster_002,1,
phase3j_locked:cluster_004,cluster_004,phase3j_locked_book,Phase3J,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",fgv2-repair-nonlinearize-0723c50412,formula_gen_v2_repair_expansion,flow|price,CSRank|Mul|Sign|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.219893,0.212161,2.788897,48305024.689453,2776555488.0,0.037455,0.0,2,2,68.839473,B,0.573445,1.0,0.557779,0.656809,0.75711,0.55,0.687875,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_004,1,
phase3k_b_fresh:s51_cluster_001,s51_cluster_001,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank($amount),CSRank(Mean($close,13))))","CSRank(Mul(CSRank($amount),CSRank(Mean($close,13))))",agnostic-freeform-49bee246ffba,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul,True,True,True,,0.0,0.195914,0.195914,2.207932,61038750.60332,2506280908.8,0.016917,0.0,1,1,68.762764,B,0.376206,1.0,0.441586,0.688781,0.835212,1.0,0.859025,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s51_cluster_001,1,
phase3j_locked:cluster_016,cluster_016,phase3j_locked_book,Phase3J,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))","CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",agnostic-freeform-1d4ce7648018,agnostic_freeform_ast,cap|price,CSRank|Sub|ZScore,True,True,False,existing_locked_phase3j_book,,0.061503,0.061503,2.629757,20861176.640332,764548987.2,0.01039,0.0,1,1,68.193751,B,0.422607,1.0,0.525951,1.0,0.476829,0.55,0.913417,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_016,1,
registry149:registry_112,registry_112,registry_149,Phase3E,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))","CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))",agnostic-freeform-ca14e40fcc83,agnostic_freeform_ast,$final_float_market_cap|$final_total_market_cap|$high,Abs|CSRank|Delta|Mean|Mul|ZScore,False,False,False,registry_member,,0.069145,0.08291,6.029984,,,,,1,1,68.073333,B,0.683333,0.28,1.0,1.0,0.3,0.55,1.0,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited|daily_book_readiness_metrics_incomplete,KEEP_AS_GRADE_B_RESERVE,registry149:registry_112,1,cluster_031
phase3k_b_fresh:s51_cluster_005,s51_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),8)),ZScore(Mean(Abs($close),2))))","CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),8)),ZScore(Mean(Abs($close),2))))",stockpit-cem_adaptive_grammar-025c250db93d,r0_cem_led,price|size_capital,Abs|CSRank|Mean|Mul|ZScore,True,True,False,signal_collision_ge_0p80,1.0,0.036741,0.036741,2.732301,114899314.978125,2361168425.6,0.009516,0.0,2,2,66.480719,B,0.56722,1.0,0.54646,1.0,1.0,0.1,0.9207,near_registry_duplicate,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s51_cluster_005,1,
phase3k_b_fresh:s52_cluster_002,s52_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($amount),8)),ZScore(Mean(Abs($close),21))))","CSRank(Mul(ZScore(Mean(Abs($amount),8)),ZScore(Mean(Abs($close),21))))",stockpit-cem_adaptive_grammar-f9b8d3d0761e,r0_cem_led,flow|price,Abs|CSRank|Mean|Mul|ZScore,True,True,False,signal_collision_ge_0p80,0.958598,0.1414,0.110025,2.96599,69546080.957031,2851132067.2,0.015291,0.0,2,2,66.047734,B,0.592926,1.0,0.593198,1.0,0.878767,0.1,0.872575,near_registry_duplicate,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s52_cluster_002,1,
phase3k_b_fresh:s51_cluster_011,s51_cluster_011,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Mean($final_total_market_cap,8)),CSRank(Delta($low,34))))","CSRank(Mul(CSRank(Mean($final_total_market_cap,8)),CSRank(Delta($low,34))))",agnostic-freeform-e930e660c0c5,agnostic_freeform_ast,price|size_capital,CSRank|Delta|Mean|Mul,True,True,True,,0.414166,0.144215,0.144215,1.065551,67648509.121875,2388961491.2,0.029061,0.0,1,1,65.844944,B,0.250544,1.0,0.21311,1.0,0.869533,1.0,0.757825,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s51_cluster_011,1,
phase3k_b_fresh:s54_cluster_005,s54_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(Mean(Abs(Delta($amount,1)),2)),Mul(ZScore(Mean($high,3)),ZScore(Delta($final_total_market_cap,34)))))","CSRank(Mul(Sign(Mean(Abs(Delta($amount,1)),2)),Mul(ZScore(Mean($high,3)),ZScore(Delta($final_total_market_cap,34)))))",agnostic-freeform-0d22c03a7b39,agnostic_freeform_ast,flow|price|size_capital,Abs|CSRank|Delta|Mean|Mul|Sign|ZScore,True,True,True,,0.273914,0.139171,0.139171,1.105188,57611127.090234,1938888038.4,0.026051,0.0,1,1,65.640872,B,0.254904,1.0,0.221038,1.0,0.81592,1.0,0.782908,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s54_cluster_005,1,
phase3k_b_fresh:s54_cluster_010,s54_cluster_010,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Mul(ZScore(CSRank(Mean(Abs($ret),8))),ZScore(CSRank($close)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore(CSRank(Mean(Abs($ret),8))),ZScore(CSRank($close)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-ab9b152404,formula_gen_v2_repair_expansion,other|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,True,,0.777104,0.132702,0.132702,2.435467,21990144.123828,1157034569.6,0.020567,0.0,1,1,65.539945,B,0.401235,1.0,0.487093,1.0,0.494422,0.422896,0.828608,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s54_cluster_010,1,
phase3k_b_fresh:s53_cluster_004,s53_cluster_004,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean($close,2)),ZScore(Mean($final_float_market_cap,2))))","CSRank(Mul(ZScore(Mean($close,2)),ZScore(Mean($final_float_market_cap,2))))",stockpit-cem_adaptive_grammar-71b556bd5adc,r0_cem_led,price|size_capital,CSRank|Mean|Mul|ZScore,True,True,False,signal_collision_ge_0p80,1.0,0.037819,0.037819,2.517883,114204507.063281,2362833614.769231,0.009497,0.0,2,2,65.191189,B,0.543634,1.0,0.503577,1.0,1.0,0.1,0.920858,near_registry_duplicate,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s53_cluster_004,1,
phase3k_b_fresh:s54_cluster_006,s54_cluster_006,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))))),Mul(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))),ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))))),Mul(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))),ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))))))",fgv2-repair-nonlinearize-69d3d3bbf5,formula_gen_v2_repair_expansion,price|size_capital,CSRank|Mul|Sign|ZScore,True,True,False,signal_collision_ge_0p80,0.99463,0.041512,0.037182,2.450911,113995836.100781,2362434291.2,0.009344,0.0,2,2,64.798218,B,0.536267,1.0,0.490182,1.0,1.0,0.1,0.922133,near_registry_duplicate,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s54_cluster_006,1,
phase3j_locked:cluster_005,cluster_005,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))","CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",stockpit-cem_adaptive_grammar-676b542e60d5,r0_cem_led,cap|price,CSRank|Mul|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.186745,0.186745,2.183766,66173875.644141,2403395172.8,0.032379,0.0,1,1,64.481207,B,0.373548,1.0,0.436753,0.701007,0.862176,0.55,0.730175,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_005,1,
phase3j_locked:cluster_035,cluster_035,phase3j_locked_book,Phase3J,"CSRank(Mean($amount,34))","CSRank(Mean($amount,34))",stockpit-cem_adaptive_grammar-41ecb6ef65e0,r0_cem_led,flow,CSRank|Mean,True,True,False,existing_locked_phase3j_book,,0.057486,0.057486,1.193926,90645992.81875,4441117113.6,0.031503,0.0,1,1,64.027174,B,0.264665,1.0,0.238785,1.0,0.967217,0.55,0.737475,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_035,1,
phase3k_b_fresh:s51_cluster_006,s51_cluster_006,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Std($open,34)),Mul(CSRank(Mean(Abs(Delta($low,1)),3)),ZScore(Std($final_float_market_cap,13)))))","CSRank(Mul(ZScore(Std($open,34)),Mul(CSRank(Mean(Abs(Delta($low,1)),3)),ZScore(Std($final_float_market_cap,13)))))",agnostic-freeform-edb3be151ae4,agnostic_freeform_ast,price|size_capital,Abs|CSRank|Delta|Mean|Mul|Std|ZScore,True,True,True,,0.493024,0.120017,0.120017,0.803214,66178692.158203,2500253516.8,0.032268,0.0,1,1,63.963883,B,0.221687,1.0,0.160643,1.0,0.8622,1.0,0.7311,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s51_cluster_006,1,
phase3j_locked:cluster_013,cluster_013,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))","CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))",agnostic-freeform-d65a41303a90,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Std|ZScore,True,True,False,existing_locked_phase3j_book,,0.148873,0.148873,2.706367,6941141.851562,619661531.6,0.02629,0.0,1,1,63.186979,B,0.431034,1.0,0.541273,1.0,0.109499,0.55,0.780917,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3j_locked:cluster_013,1,
phase3k_b_fresh:s52_cluster_030,s52_cluster_030,kb_fresh_g2,Phase3K-B,"Neg(CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),21)),ZScore(Mean(Abs($final_float_market_cap),8)))))","Neg(CSRank(Mul(ZScore(Mean(Abs($final_float_market_cap),21)),ZScore(Mean(Abs($final_float_market_cap),8)))))",stockpit-cem_adaptive_grammar-e8bde889a166,r0_cem_led,size_capital,Abs|CSRank|Mean|Mul|Neg|ZScore,True,True,True,,0.50358,0.047298,0.047298,1.714116,18203547.140625,405354274.8,0.022451,0.0,1,1,62.503016,B,0.321886,1.0,0.342823,1.0,0.43134,0.69642,0.812908,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,KEEP_AS_GRADE_B_RESERVE,phase3k_b_fresh:s52_cluster_030,1,
